Restaurant ID,Restaurant Name,Country Name,Country Code,City,Locality,Longitude,Latitude,Cuisines,Currency,Has_Table_booking,Has_Online_delivery,Is_delivering_now,Switch_to_order_menu,Price_range,Votes,Average_Cost_for_two,Bucket Range,Rating,Rating Range,Date_Opening,Year,Month,Quarter,Month Name,Week of Year,Day of Week,Day Name,Finicial Quarter Name,Financial Month Name
18435314,Punjabi's Veg Grill,India,1,New Delhi,Geeta Colony,77.2767689,28.6507753,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,300,250-500,1,1.0-1.5,21-09-2013,2013,9,Q-3,September,38,6,Saturday,FQ-2,FM-6
18378015,Tasty Tandoor,India,1,New Delhi,Geeta Colony,77.27505159,28.65821556,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,200,100-250,1,1.0-1.5,10-09-2016,2016,9,Q-3,September,37,6,Saturday,FQ-2,FM-6
18424905,Taste of Spice,India,1,New Delhi,Lajpat Nagar 1,77.2413122,28.5783107,North Indian,Indian Rupees(Rs.),No,Yes,No,No,1,0,400,250-500,1,1.0-1.5,25-09-2018,2018,9,Q-3,September,39,2,Tuesday,FQ-2,FM-6
18180072,Kolcata Bengali Dhaba,India,1,New Delhi,Mahipalpur,77.1239323,28.5435869,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,100,100-250,1,1.0-1.5,06-09-2018,2018,9,Q-3,September,36,4,Thursday,FQ-2,FM-6
18415377,Sunil Punjabi Dhaba,India,1,New Delhi,Mahipalpur,77.1297061,28.5413686,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,150,100-250,1,1.0-1.5,17-09-2013,2013,9,Q-3,September,38,2,Tuesday,FQ-2,FM-6
18421485,Bikaner Restaurant,India,1,New Delhi,Mukherjee Nagar,77.2081351,28.699566,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,100,100-250,1,1.0-1.5,03-09-2018,2018,9,Q-3,September,36,1,Monday,FQ-2,FM-6
312413,Just In,India,1,New Delhi,Mukherjee Nagar,77.2190942,28.7094798,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,200,100-250,1,1.0-1.5,16-09-2011,2011,9,Q-3,September,38,5,Friday,FQ-2,FM-6
303497,Shri Shyam Ji Shudh Shakahari Bhojnalaya,India,1,New Delhi,Najafgarh,76.9748922,28.6112536,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,150,100-250,1,1.0-1.5,21-09-2014,2014,9,Q-3,September,39,0,Sunday,FQ-2,FM-6
18354644,Shree Bhojnalaya,India,1,New Delhi,New Friends Colony,77.27276199,28.56077074,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,100,100-250,1,1.0-1.5,09-09-2012,2012,9,Q-3,September,37,0,Sunday,FQ-2,FM-6
18366001,Baba Ka Dhaba,India,1,New Delhi,Palam,77.0902799,28.5828978,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,200,100-250,1,1.0-1.5,21-09-2014,2014,9,Q-3,September,39,0,Sunday,FQ-2,FM-6
18486845,Kaka Da Dhaba,India,1,New Delhi,R K Puram,77.1741183,28.5771926,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,100,100-250,1,1.0-1.5,24-09-2012,2012,9,Q-3,September,39,1,Monday,FQ-2,FM-6
18424202,Famous Parantha and Poori Sabzi,India,1,New Delhi,Vasundhara Enclave,77.3085095,28.5893763,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,50,0-100,1,1.0-1.5,20-09-2014,2014,9,Q-3,September,38,6,Saturday,FQ-2,FM-6
18472678,Garam Masala,India,1,New Delhi,Defence Colony,77.2254202,28.5728608,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,300,250-500,1,1.0-1.5,10-08-2013,2013,8,Q-3,August,32,6,Saturday,FQ-2,FM-5
18209806,Zaika-E-Chaap Express,India,1,New Delhi,Dilshad Garden,77.30820905,28.67788563,North Indian,Indian Rupees(Rs.),No,No,No,No,1,0,250,250-500,1,1.0-1.5,20-08-2010,2010,8,Q-3,August,34,5,Friday,FQ-2,FM-5
